Starts,Ends,Ad set budget,Ad set budget type,Attribution setting,Results,Result indicator,Reach,Impressions,Cost per results,Amount spent (MXN),Result rate,Frequency,CPC (All) (MXN),CTR (all),Auto-refresh impressions,Cost per Page engagement (MXN),Messaging Conversations Started,New messaging connections,Cost per new messaging connection (MXN),Campaign ID,Objective
6/18/2019,6/22/2019,1500,Lifetime,28-day click or 1-day view,23,actions:onsite_conversion.messaging_conversation_started_7d,12925,20019,27.53043478,633.2,0.114890854,1.548859,0.916353,3.451721,0,0.187949,23,23,27.530435,881,Messages
6/26/2019,7/6/2019,Using ad set budget,0,28-day click or 1-day view,9,actions:link_click,1550,1560,5.197777778,46.78,0.576923077,1.006452,2.462105,1.217949,0,0.257033,,,,251,Traffic
6/27/2019,7/2/2019,Using ad set budget,0,28-day click or 1-day view,1,actions:onsite_conversion.messaging_conversation_started_7d,1178,1575,65.55,65.55,0.063492063,1.337012,0.682813,6.095238,0,0.187822,1,,,679,Messages
7/2/2019,7/7/2019,Using ad set budget,0,28-day click or 1-day view,41,actions:onsite_conversion.messaging_conversation_started_7d,14376,25364,24.3902439,1000,0.161646428,1.764329,1.097695,3.591705,0,0.217533,41,39,25.641026,921,Messages
9/24/2019,10/4/2019,Using ad set budget,0,28-day click or 1-day view,20,actions:onsite_conversion.messaging_conversation_started_7d,11100,13515,19.197,383.94,0.147983722,1.217568,1.142679,2.486127,0,3.397699,20,15,25.596,707,Messages
9/28/2019,10/4/2019,Using ad set budget,0,28-day click or 1-day view,3,actions:onsite_conversion.messaging_conversation_started_7d,863,993,14.69666667,44.09,0.302114804,1.150637,0.518706,8.559919,0,0.11695,3,2,22.045,532,Messages
10/14/2019,10/18/2019,Using ad set budget,0,28-day click or 1-day view,,,0,0,,0,,0,0,0,0,,,,,327,Messages
10/15/2019,10/21/2019,Using ad set budget,0,28-day click or 1-day view,42,actions:onsite_conversion.messaging_conversation_started_7d,17804,22243,18.7452381,787.3,0.18882345,1.249326,1.491098,2.373781,0,4.349724,42,40,19.6825,365,Messages
10/16/2019,10/25/2019,Using ad set budget,0,28-day click or 1-day view,14,actions:onsite_conversion.messaging_conversation_started_7d,4166,4654,9.225,129.15,0.300816502,1.117139,0.275962,10.055866,0,0.096381,14,10,12.915,175,Messages
10/17/2019,10/22/2019,Using ad set budget,0,28-day click or 1-day view,43,actions:onsite_conversion.messaging_conversation_started_7d,23776,29535,11.62790698,500,0.145589978,1.242219,0.113662,14.894193,0,0.04355,43,40,12.5,263,Messages
